X,Y,TIME,EVENT ID
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
258,244,1653544822,1
822,184,1653544826,1
233,244,1653544825,1
822,184,1653544826,1
224.6666667,244,1653544825,1
822,184,1653544826,1
220.5,244,1653544826,1
822,184,1653544826,1
218,244,1653544826,1
822,184,1653544826,1
216.3333333,244,1653544826,1
822,184,1653544826,1
215.1428571,244,1653544826,1
822,184,1653544826,1
214.25,244,1653544826,1
822,184,1653544826,1
213.5555556,244,1653544826,1
822,184,1653544826,1
213,244,1653544827,1
822,184,1653544826,1
212.5454545,244,1653544827,1
